file,ts_len,anomaly_len,num_anomaly,avg_anomaly_len,anomaly_ratio,point_anomaly,seq_anomaly
001_NAB_id_1_Facility_tr_1007_1st_2014.csv,4031,343,3,114.33333333333333,0.08509054825105433,0,1
002_NAB_id_2_WebService_tr_1500_1st_4106.csv,6000,637,1,637.0,0.10616666666666667,0,1
003_NAB_id_3_WebService_tr_1362_1st_1462.csv,15852,1523,3,507.6666666666667,0.09607620489528135,0,1
004_NAB_id_4_Facility_tr_1007_1st_1437.csv,4031,402,1,402.0,0.09972711485983626,0,1
005_NAB_id_5_Traffic_tr_594_1st_1645.csv,2379,238,1,238.0,0.10004203446826397,0,1
006_NAB_id_6_Traffic_tr_2579_1st_5839.csv,10319,1030,5,206.0,0.09981587363116581,0,1
007_NAB_id_7_Traffic_tr_624_1st_2087.csv,2499,248,2,124.0,0.09923969587835134,0,1
008_NAB_id_8_Synthetic_tr_1007_1st_2734.csv,4031,402,1,402.0,0.09972711485983626,0,1
009_NAB_id_9_Traffic_tr_500_1st_438.csv,2161,216,1,216.0,0.0999537251272559,0,1
010_NAB_id_10_WebService_tr_500_1st_271.csv,1000,148,3,49.333333333333336,0.148,0,1
011_NAB_id_11_Facility_tr_1007_1st_1526.csv,4031,474,1,474.0,0.11758868767055321,0,1
012_NAB_id_12_Synthetic_tr_1007_1st_2787.csv,4031,513,1,513.0,0.12726370627635822,0,1
013_NAB_id_13_Traffic_tr_623_1st_2084.csv,2494,248,2,124.0,0.09943865276663993,0,1
014_NAB_id_14_WebService_tr_500_1st_1045.csv,1537,152,1,152.0,0.0988939492517892,0,1
015_NAB_id_15_Synthetic_tr_1007_1st_2787.csv,4031,513,1,513.0,0.12726370627635822,0,1
016_NAB_id_16_Environment_tr_1816_1st_3540.csv,7266,724,2,362.0,0.09964216900633086,0,1
017_NAB_id_17_Synthetic_tr_1007_1st_1805.csv,4031,402,1,402.0,0.09972711485983626,0,1
018_NAB_id_18_Facility_tr_500_1st_669.csv,1881,188,2,94.0,0.09994683678894205,0,1
019_NAB_id_19_Facility_tr_1007_1st_1171.csv,4031,400,2,200.0,0.09923096005953858,0,1
